Apk_Name,Size_in_KB
1,23239
2,23246
3,23245
4,12261
5,23011
6,30403
7,19348
8,38785
9,18901
10,8286
11,29181
20,26019
21,28643
22,3187
23,8182
24,17368
25,9296
26,13884
27,4265
28,1159
29,6079
30,1567
31,544
32,26738
33,47712
34,101
35,1562
36,57499
37,10982
38,26363
39,17269
40,26620
41,26354
42,16043
43,2951
44,18084
45,36045
46,17214
47,24015
48,24873
49,22671
50,48080
51,21506
52,26487
53,2857
54,672
55,1932
56,2911
57,31937
58,15987
59,21640
60,38750
61,45773
62,37864
63,35828
64,4661
65,4283
66,28
67,17362
68,1263
69,9223
70,24228
71,3220
72,36569
73,1205
74,5213
75,3094
76,35493
77,4687
78,8401
79,1150
80,5
81,6576
83,15588
84,55432
86,4878
87,60675
88,3430
89,4994
90,57
91,39087
92,3016
93,38168
95,23995
96,1430
97,22474
98,74899
99,5858
100,70724
101,40709
102,19372
103,43625
104,567
105,2152
106,48419
107,1280
108,38786
109,3770
110,2790
119,2611
136,31458
138,39652
157,135
174,3255
176,1624
185,67204
191,25607
192,7519
194,25386
195,2669
196,1024
197,8393
198,34703
199,674
200,4122
201,1193
202,1456
203,152
204,33342
205,121
206,32393
207,7025
208,179545
209,3286
210,55948
211,12097
212,24966
213,24402
214,122
215,154
216,27188
217,8234
218,11264
219,49628
220,27369
221,26577
222,25705
223,30216
224,4501
225,19726
226,122
227,5246
228,18958
229,44
230,121
231,180
232,187
233,952
234,2610
235,9620
236,933
237,3022
238,55930
239,12278
240,537
241,36855
242,23885
243,25529
244,1438
245,72
246,1732
247,10473
248,10651
249,35901
250,65746
251,23144
252,23144
253,6251
254,30815
255,38244
256,32099
257,52716
258,27837
259,20060
260,3350
261,4359
262,215
263,1073
264,20181
265,15509
266,2269
267,6077
268,341
269,10184
270,24023
271,540
272,46081
273,21247
274,59109
275,14726
276,52632
277,43192
278,924
279,39028
280,8217
281,4148
282,13392
283,61257
284,2222
285,51906
286,14531
287,2163
288,10627
289,8012
290,8012
291,34525
292,21605
293,4933
294,49121
295,47855
296,14481
297,3567
298,12379
299,20920
300,64986
301,32875
302,29774
303,62153
305,42876
306,385
307,47771
308,29528
309,23
310,722
311,651
312,1603
314,41847
315,20952
316,28762
317,20085
318,15977
319,59647
320,11308
321,44890
322,40638
323,28573
324,6969
325,6969
326,66885
327,1834
328,17098
329,13587
330,16756
331,6249
332,23808
333,996
334,5243
335,2136
336,1600
337,10184
338,25763
339,12614
340,1190
341,57163
342,3090
343,1213
344,13
345,11839
346,3645
347,20759
348,23414
349,569
350,19765
351,2944
352,515
353,9530
354,37348
356,6312
357,602
358,21948
359,51240
360,16170
361,2090
362,21497
363,61125
364,31319
365,3084
366,29585
367,14386
368,1252
369,7430
370,16181
371,1802
372,6870
373,24082
374,20023
375,2212
376,25536
377,122
378,60
379,23554
380,29654
381,34180
382,30487
383,61328
384,1976
385,4124
386,22289
387,1685
388,13167
389,16560
390,12472
391,24320
392,24631
393,43632
394,20815
395,31
396,21400
397,15351
398,5877
399,43623
400,1286
